,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
0,0,1,SCHMETTERLING,Luciano,517605,https://open.spotify.com/track/0it0PhmH2Tq2Xl5o49pdMo,5,1,0it0PhmH2Tq2Xl5o49pdMo,0.874,0.593,0.31,https://api.spotify.com/v1/audio-analysis/0it0PhmH2Tq2Xl5o49pdMo,207533,0it0PhmH2Tq2Xl5o49pdMo,0.0103,0,0.187,-9.643,1,0.357,102.999,4,https://api.spotify.com/v1/tracks/0it0PhmH2Tq2Xl5o49pdMo,audio_features,spotify:track:0it0PhmH2Tq2Xl5o49pdMo,0.642,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']"
2,1,3,good 4 u,Olivia Rodrigo,501189,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,5,2,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,0.335,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4ZtFanR9U6ndgddUvNcjcG,0.0,9,0.0849,-5.044,1,0.154,166.928,4,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,audio_features,spotify:track:4ZtFanR9U6ndgddUvNcjcG,0.688,['pop']
42,2,43,DRILLA,Luciano,159473,https://open.spotify.com/track/4P9lNdUhVPhwfVxZlgjWlL,5,3,4P9lNdUhVPhwfVxZlgjWlL,0.894,0.497,0.235,https://api.spotify.com/v1/audio-analysis/4P9lNdUhVPhwfVxZlgjWlL,121447,4P9lNdUhVPhwfVxZlgjWlL,0.000696,0,0.357,-8.068,1,0.789,141.977,4,https://api.spotify.com/v1/tracks/4P9lNdUhVPhwfVxZlgjWlL,audio_features,spotify:track:4P9lNdUhVPhwfVxZlgjWlL,0.771,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']"
48,3,49,ELMAS,Luciano,143569,https://open.spotify.com/track/37yAd2kwEI9axbB6UznrOQ,5,4,37yAd2kwEI9axbB6UznrOQ,0.791,0.427,0.643,https://api.spotify.com/v1/audio-analysis/37yAd2kwEI9axbB6UznrOQ,184901,37yAd2kwEI9axbB6UznrOQ,6.17e-05,10,0.167,-7.427,0,0.158,140.055,4,https://api.spotify.com/v1/tracks/37yAd2kwEI9axbB6UznrOQ,audio_features,spotify:track:37yAd2kwEI9axbB6UznrOQ,0.38,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']"
76,4,77,KIDS FROM THE BLOCK,Luciano,112995,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF,5,5,26hbmLeqiz8loWjFshsegF,0.841,0.55,0.33,https://api.spotify.com/v1/audio-analysis/26hbmLeqiz8loWjFshsegF,176520,26hbmLeqiz8loWjFshsegF,0.0,6,0.0932,-6.534,0,0.262,109.9,4,https://api.spotify.com/v1/tracks/26hbmLeqiz8loWjFshsegF,audio_features,spotify:track:26hbmLeqiz8loWjFshsegF,0.692,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']"
1,5,2,Beggin',Måneskin,511193,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,3,6,3Wrjm47oTz2sjIgck11l5e,0.714,0.8,0.127,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,3Wrjm47oTz2sjIgck11l5e,0.0,11,0.359,-4.808,0,0.0504,134.002,4,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,audio_features,spotify:track:3Wrjm47oTz2sjIgck11l5e,0.589,[]
3,6,4,I WANNA BE YOUR SLAVE,Måneskin,422189,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,3,7,4pt5fDVTg5GhEvEtlz9dKk,0.75,0.608,0.00165,https://api.spotify.com/v1/audio-analysis/4pt5fDVTg5GhEvEtlz9dKk,173347,4pt5fDVTg5GhEvEtlz9dKk,0.0,1,0.178,-4.008,1,0.0387,132.507,4,https://api.spotify.com/v1/tracks/4pt5fDVTg5GhEvEtlz9dKk,audio_features,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,0.958,[]
14,7,15,Extasy,187 Strassenbande,236551,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT,3,8,79lc69ZXfL4WmJIzVSDmWT,0.863,0.739,0.0289,https://api.spotify.com/v1/audio-analysis/79lc69ZXfL4WmJIzVSDmWT,174021,79lc69ZXfL4WmJIzVSDmWT,0.0256,9,0.0931,-5.879,0,0.153,129.964,4,https://api.spotify.com/v1/tracks/79lc69ZXfL4WmJIzVSDmWT,audio_features,spotify:track:79lc69ZXfL4WmJIzVSDmWT,0.547,
18,8,19,Autotür,Fourty,219771,https://open.spotify.com/track/6w3L8n7b9Y1dZ8JU1tHdzu,3,9,6w3L8n7b9Y1dZ8JU1tHdzu,0.672,0.424,0.408,https://api.spotify.com/v1/audio-analysis/6w3L8n7b9Y1dZ8JU1tHdzu,177515,6w3L8n7b9Y1dZ8JU1tHdzu,0.014,4,0.377,-11.264,0,0.527,176.006,4,https://api.spotify.com/v1/tracks/6w3L8n7b9Y1dZ8JU1tHdzu,audio_features,spotify:track:6w3L8n7b9Y1dZ8JU1tHdzu,0.444,"['german hip hop', 'german pop', 'german r&b', 'german trap']"
27,9,28,Drink Ist Kalt,BHZ,190432,https://open.spotify.com/track/4rewc9tTT02T7Tfxpd0mo4,3,10,4rewc9tTT02T7Tfxpd0mo4,0.979,0.439,0.412,https://api.spotify.com/v1/audio-analysis/4rewc9tTT02T7Tfxpd0mo4,187542,4rewc9tTT02T7Tfxpd0mo4,0.000847,5,0.0975,-10.277,0,0.0912,121.019,4,https://api.spotify.com/v1/tracks/4rewc9tTT02T7Tfxpd0mo4,audio_features,spotify:track:4rewc9tTT02T7Tfxpd0mo4,0.184,"['german alternative rap', 'german hip hop', 'german trap']"
39,10,40,ZITTI E BUONI,Måneskin,166520,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw,3,11,776AftMmFFAWUIEAb3lHhw,0.625,0.939,0.00138,https://api.spotify.com/v1/audio-analysis/776AftMmFFAWUIEAb3lHhw,194787,776AftMmFFAWUIEAb3lHhw,0.0,4,0.424,-3.115,0,0.0669,102.999,4,https://api.spotify.com/v1/tracks/776AftMmFFAWUIEAb3lHhw,audio_features,spotify:track:776AftMmFFAWUIEAb3lHhw,0.644,[]
45,11,46,Alles nach Plan,187 Strassenbande,154036,https://open.spotify.com/track/1fW5PpJSmPiVXAi0l92PHm,3,12,1fW5PpJSmPiVXAi0l92PHm,0.85,0.681,0.35,https://api.spotify.com/v1/audio-analysis/1fW5PpJSmPiVXAi0l92PHm,177851,1fW5PpJSmPiVXAi0l92PHm,0.0171,0,0.0824,-6.298,1,0.149,98.044,4,https://api.spotify.com/v1/tracks/1fW5PpJSmPiVXAi0l92PHm,audio_features,spotify:track:1fW5PpJSmPiVXAi0l92PHm,0.399,
51,12,52,Blinding Lights,The Weeknd,139519,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,3,13,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,0.00146,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,0VjIjW4GlUZAMYd2vXMi3b,9.54e-05,1,0.0897,-5.934,1,0.0598,171.005,4,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.334,"['canadian contemporary r&b', 'canadian pop', 'pop']"
55,13,56,Save Your Tears,The Weeknd,132413,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,3,14,5QO79kh1waicV47BqGRL3g,0.68,0.826,0.0212,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,215627,5QO79kh1waicV47BqGRL3g,1.24e-05,0,0.543,-5.487,1,0.0309,118.051,4,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,audio_features,spotify:track:5QO79kh1waicV47BqGRL3g,0.644,"['canadian contemporary r&b', 'canadian pop', 'pop']"
62,14,63,Church,BHZ,126370,https://open.spotify.com/track/5r9PgwN9hQkjvoKhwmw2mM,3,15,5r9PgwN9hQkjvoKhwmw2mM,0.892,0.305,0.245,https://api.spotify.com/v1/audio-analysis/5r9PgwN9hQkjvoKhwmw2mM,208129,5r9PgwN9hQkjvoKhwmw2mM,0.0,5,0.102,-10.899,0,0.48,89.042,4,https://api.spotify.com/v1/tracks/5r9PgwN9hQkjvoKhwmw2mM,audio_features,spotify:track:5r9PgwN9hQkjvoKhwmw2mM,0.466,"['german alternative rap', 'german hip hop', 'german trap']"
