,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
0,0,1,good 4 u,Olivia Rodrigo,3751564,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,7,1,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,0.335,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4ZtFanR9U6ndgddUvNcjcG,0.0,9,0.0849,-5.044,1,0.154,166.928,4,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,audio_features,spotify:track:4ZtFanR9U6ndgddUvNcjcG,0.688,['pop']
10,1,11,Extasy,187 Strassenbande,2007605,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT,5,2,79lc69ZXfL4WmJIzVSDmWT,0.863,0.739,0.0289,https://api.spotify.com/v1/audio-analysis/79lc69ZXfL4WmJIzVSDmWT,174021,79lc69ZXfL4WmJIzVSDmWT,0.0256,9,0.0931,-5.879,0,0.153,129.964,4,https://api.spotify.com/v1/tracks/79lc69ZXfL4WmJIzVSDmWT,audio_features,spotify:track:79lc69ZXfL4WmJIzVSDmWT,0.547,"['german hip hop', 'hamburg hip hop']"
24,2,25,Alles nach Plan,187 Strassenbande,1340483,https://open.spotify.com/track/1fW5PpJSmPiVXAi0l92PHm,5,3,1fW5PpJSmPiVXAi0l92PHm,0.85,0.681,0.35,https://api.spotify.com/v1/audio-analysis/1fW5PpJSmPiVXAi0l92PHm,177851,1fW5PpJSmPiVXAi0l92PHm,0.0171,0,0.0824,-6.298,1,0.149,98.044,4,https://api.spotify.com/v1/tracks/1fW5PpJSmPiVXAi0l92PHm,audio_features,spotify:track:1fW5PpJSmPiVXAi0l92PHm,0.399,"['german hip hop', 'hamburg hip hop']"
31,3,32,Vielen Dank,187 Strassenbande,1213464,https://open.spotify.com/track/4xN9cgMVhYyhnugUFZdhcZ,5,4,4xN9cgMVhYyhnugUFZdhcZ,0.854,0.572,0.136,https://api.spotify.com/v1/audio-analysis/4xN9cgMVhYyhnugUFZdhcZ,207573,4xN9cgMVhYyhnugUFZdhcZ,0.0987,8,0.108,-5.678,1,0.0971,100.027,4,https://api.spotify.com/v1/tracks/4xN9cgMVhYyhnugUFZdhcZ,audio_features,spotify:track:4xN9cgMVhYyhnugUFZdhcZ,0.35,"['german hip hop', 'hamburg hip hop']"
3,4,4,DRILLA,Luciano,2419131,https://open.spotify.com/track/4P9lNdUhVPhwfVxZlgjWlL,4,5,4P9lNdUhVPhwfVxZlgjWlL,0.894,0.497,0.235,https://api.spotify.com/v1/audio-analysis/4P9lNdUhVPhwfVxZlgjWlL,121447,4P9lNdUhVPhwfVxZlgjWlL,0.000696,0,0.357,-8.068,1,0.789,141.977,4,https://api.spotify.com/v1/tracks/4P9lNdUhVPhwfVxZlgjWlL,audio_features,spotify:track:4P9lNdUhVPhwfVxZlgjWlL,0.771,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']"
5,5,6,I WANNA BE YOUR SLAVE,Måneskin,2373806,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,4,6,4pt5fDVTg5GhEvEtlz9dKk,0.75,0.608,0.00165,https://api.spotify.com/v1/audio-analysis/4pt5fDVTg5GhEvEtlz9dKk,173347,4pt5fDVTg5GhEvEtlz9dKk,0.0,1,0.178,-4.008,1,0.0387,132.507,4,https://api.spotify.com/v1/tracks/4pt5fDVTg5GhEvEtlz9dKk,audio_features,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,0.958,"['indie rock italiano', 'italian pop']"
12,6,13,Beggin',Måneskin,1833789,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,4,7,3Wrjm47oTz2sjIgck11l5e,0.714,0.8,0.127,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,3Wrjm47oTz2sjIgck11l5e,0.0,11,0.359,-4.808,0,0.0504,134.002,4,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,audio_features,spotify:track:3Wrjm47oTz2sjIgck11l5e,0.589,"['indie rock italiano', 'italian pop']"
16,7,17,ZITTI E BUONI,Måneskin,1552678,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw,4,8,776AftMmFFAWUIEAb3lHhw,0.625,0.939,0.00138,https://api.spotify.com/v1/audio-analysis/776AftMmFFAWUIEAb3lHhw,194787,776AftMmFFAWUIEAb3lHhw,0.0,4,0.424,-3.115,0,0.0669,102.999,4,https://api.spotify.com/v1/tracks/776AftMmFFAWUIEAb3lHhw,audio_features,spotify:track:776AftMmFFAWUIEAb3lHhw,0.644,"['indie rock italiano', 'italian pop']"
21,8,22,ELMAS,Luciano,1385267,https://open.spotify.com/track/37yAd2kwEI9axbB6UznrOQ,4,9,37yAd2kwEI9axbB6UznrOQ,0.791,0.427,0.643,https://api.spotify.com/v1/audio-analysis/37yAd2kwEI9axbB6UznrOQ,184901,37yAd2kwEI9axbB6UznrOQ,6.17e-05,10,0.167,-7.427,0,0.158,140.055,4,https://api.spotify.com/v1/tracks/37yAd2kwEI9axbB6UznrOQ,audio_features,spotify:track:37yAd2kwEI9axbB6UznrOQ,0.38,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']"
4,9,5,Liege wieder wach,Jamule,2400759,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa,3,10,2knDuFWczh1Wv92eBAdPTa,0.743,0.601,0.336,https://api.spotify.com/v1/audio-analysis/2knDuFWczh1Wv92eBAdPTa,176251,2knDuFWczh1Wv92eBAdPTa,2.37e-06,11,0.0902,-9.126,1,0.0615,82.009,4,https://api.spotify.com/v1/tracks/2knDuFWczh1Wv92eBAdPTa,audio_features,spotify:track:2knDuFWczh1Wv92eBAdPTa,0.445,['german hip hop']
20,10,21,HAPPY BIRTHDAY (feat. Jamule),Jamule,1399873,https://open.spotify.com/track/3bmhalgSjoDFfDwdu21aws,3,11,3bmhalgSjoDFfDwdu21aws,0.757,0.64,0.0506,https://api.spotify.com/v1/audio-analysis/3bmhalgSjoDFfDwdu21aws,172340,3bmhalgSjoDFfDwdu21aws,0.0,10,0.639,-5.953,1,0.0773,93.98,4,https://api.spotify.com/v1/tracks/3bmhalgSjoDFfDwdu21aws,audio_features,spotify:track:3bmhalgSjoDFfDwdu21aws,0.481,['german hip hop']
22,11,23,Frisch,01099,1364724,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k,2,12,7toCqux0Ln42OttYYyds4k,0.831,0.457,0.468,https://api.spotify.com/v1/audio-analysis/7toCqux0Ln42OttYYyds4k,158106,7toCqux0Ln42OttYYyds4k,0.546,5,0.126,-8.844,1,0.125,127.99,4,https://api.spotify.com/v1/tracks/7toCqux0Ln42OttYYyds4k,audio_features,spotify:track:7toCqux0Ln42OttYYyds4k,0.559,"['german hip hop', 'german trap']"
28,12,29,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,1264016,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN,2,13,3iw6V4LH7yPj1ESORX9RIN,0.722,0.893,0.0441,https://api.spotify.com/v1/audio-analysis/3iw6V4LH7yPj1ESORX9RIN,116750,3iw6V4LH7yPj1ESORX9RIN,0.000937,0,0.0673,-3.255,0,0.0475,119.932,4,https://api.spotify.com/v1/tracks/3iw6V4LH7yPj1ESORX9RIN,audio_features,spotify:track:3iw6V4LH7yPj1ESORX9RIN,0.439,[]
29,13,30,Wasted Love (feat. Lagique),Ofenbach,1241708,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U,2,14,2pPO9YecZimmuVQfIzfV6U,0.734,0.855,0.0821,https://api.spotify.com/v1/audio-analysis/2pPO9YecZimmuVQfIzfV6U,139563,2pPO9YecZimmuVQfIzfV6U,4.73e-06,6,0.0901,-4.578,0,0.135,121.955,4,https://api.spotify.com/v1/tracks/2pPO9YecZimmuVQfIzfV6U,audio_features,spotify:track:2pPO9YecZimmuVQfIzfV6U,0.54,"['edm', 'pop', 'pop dance', 'tropical house']"
