,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",3631925,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,Beggin',Måneskin,3054300,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,"I WANNA BE YOUR SLAVE",Måneskin,3016051,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
4,Shawty,"PA Sports",2563536,https://open.spotify.com/track/3quQYEq6YMZmSmHpc2UKkc
5,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",2460099,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2350931,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,"Ich darf das","Shirin David",2314581,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
8,"Liege wieder wach",Jamule,2238393,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
9,Rotlichtsonate,Kollegah,2210487,https://open.spotify.com/track/1wxnA0kd9ywcsxG2YABWwm
10,GHETTOGIRL,Capo,2027467,https://open.spotify.com/track/3idbCPumlga23rxFA08fZE
11,"MONTERO (Call Me By Your Name)","Lil Nas X",2021436,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
12,Extasy,"187 Strassenbande",1850120,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
13,Rosenkrieg,Loredana,1647680,https://open.spotify.com/track/6DiaHETMcKdX7FwuGXwp1O
14,"BLESSED (feat. Capital Bra)",Cro,1569912,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
15,"Iko Iko (My Bestie)","Justin Wellington",1564753,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
16,Sommer,"Beatzarre & Djorkaeff",1531329,https://open.spotify.com/track/3sqZwhR5UFmHAh1KLXGOgq
17,DRILLA,Luciano,1520162,https://open.spotify.com/track/4P9lNdUhVPhwfVxZlgjWlL
18,Madonna,Bausa,1497997,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
19,"Levitating (feat. DaBaby)","Dua Lipa",1493559,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
20,Durstlöscher,01099,1449647,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
21,"Your Love (9PM)",ATB,1444026,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
22,Frisch,01099,1350917,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
23,"Frag mich nicht","Miksu / Macloud",1339123,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
24,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1323393,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
25,"Wasted Love (feat. Lagique)",Ofenbach,1314803,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
26,"Astronaut In The Ocean","Masked Wolf",1300481,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
27,"The Business",Tiësto,1299917,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
28,"ZITTI E BUONI",Måneskin,1299481,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
29,FAFB,Lucio101,1287238,https://open.spotify.com/track/25ERGFwjI1BUph1oqqTb6O
30,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1279691,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
31,"Cover Me In Sunshine",P!nk,1274123,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
32,Rasputin,Majestic,1261079,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
33,"Alles nach Plan","187 Strassenbande",1200848,https://open.spotify.com/track/1fW5PpJSmPiVXAi0l92PHm
34,Redlight,Glockenbach,1198384,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
35,"Drink Ist Kalt",BHZ,1189581,https://open.spotify.com/track/2CF0s1PAImWgGhEr7W6iY2
36,"Fireworks (feat. Moss Kena & The Knocks)","Purple Disco Machine",1185851,https://open.spotify.com/track/1kTlT3phtU2yqTJYT1x6hb
37,ELMAS,Luciano,1172598,https://open.spotify.com/track/37yAd2kwEI9axbB6UznrOQ
38,Run,OneRepublic,1162869,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
39,"Tu nicht so",badmómzjay,1150288,https://open.spotify.com/track/4rs0jr2tC1Qg32Fm7zfdsT
40,Freigang,Azet,1136451,https://open.spotify.com/track/6xxZTkecUSkZ15I8B92RYA
41,Dinero,"Trinidad Cardona",1105328,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
42,"Ramenez la coupe à la maison",Vegedream,1097405,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
43,"Kiss Me More (feat. SZA)","Doja Cat",1069310,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
44,"DU BIST DER FEHLER.",Lune,1068036,https://open.spotify.com/track/7Fz8qYsfyRfUCKCzdiCiaV
45,"Head & Heart (feat. MNEK)","Joel Corry",1065041,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
46,Magia,"Alvaro Soler",1040513,https://open.spotify.com/track/3KJ1QkwWObfuq54pgwTRyW
47,"Following The Sun",SUPER-Hi,1035586,https://open.spotify.com/track/2JzXBqTIVHYX43t7EcLyMs
48,"Ohne Dich",KASIMIR1441,1029947,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
49,BED,"Joel Corry",991891,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
50,"Vielen Dank","187 Strassenbande",982563,https://open.spotify.com/track/4xN9cgMVhYyhnugUFZdhcZ
51,"Leere Hände (feat. Sido & Samra)",SANTOS,977376,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
52,"Little Bit of Love","Tom Grennan",955938,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
53,"Drei Uhr Nachts","Mark Forster",955351,https://open.spotify.com/track/58GxgFEG5uHc9oMhofuuIP
54,"Save Your Tears","The Weeknd",898808,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
55,"Girls Like Us","Zoe Wees",885506,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
56,"Blinding Lights","The Weeknd",878721,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
57,3065,"AK AUSSERKONTROLLE",875228,https://open.spotify.com/track/4tow4iBkVBJvmvMohCygQH
58,RAPSTAR,"Polo G",874427,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
59,"White Lies",VIZE,865098,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
