,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
0,0,1,Petrouchka (feat. PLK),Soso Maness,4999147,https://open.spotify.com/track/03y045SZqaC94yfXl1cU4E,17,1,03y045SZqaC94yfXl1cU4E,0.624,0.802,0.0597,https://api.spotify.com/v1/audio-analysis/03y045SZqaC94yfXl1cU4E,189933,03y045SZqaC94yfXl1cU4E,0.0,6,0.252,-4.818,1,0.311,133.888,4,https://api.spotify.com/v1/tracks/03y045SZqaC94yfXl1cU4E,audio_features,spotify:track:03y045SZqaC94yfXl1cU4E,0.818,"['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']"
17,1,18,Les derniers marioles (feat. SCH),Soso Maness,1095079,https://open.spotify.com/track/3nfSwkMLwFT49PIRDBG6CZ,17,2,3nfSwkMLwFT49PIRDBG6CZ,0.541,0.746,0.22,https://api.spotify.com/v1/audio-analysis/3nfSwkMLwFT49PIRDBG6CZ,211067,3nfSwkMLwFT49PIRDBG6CZ,3.55e-06,7,0.161,-6.445,0,0.333,104.82,3,https://api.spotify.com/v1/tracks/3nfSwkMLwFT49PIRDBG6CZ,audio_features,spotify:track:3nfSwkMLwFT49PIRDBG6CZ,0.516,"['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']"
11,2,12,Σ. MOROSE,Damso,1250947,https://open.spotify.com/track/0fukO3WYYUHaXOrvEohpEG,6,3,0fukO3WYYUHaXOrvEohpEG,0.721,0.588,0.37,https://api.spotify.com/v1/audio-analysis/0fukO3WYYUHaXOrvEohpEG,263577,0fukO3WYYUHaXOrvEohpEG,0.00208,4,0.1,-7.801,0,0.0501,150.031,4,https://api.spotify.com/v1/tracks/0fukO3WYYUHaXOrvEohpEG,audio_features,spotify:track:0fukO3WYYUHaXOrvEohpEG,0.276,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']"
1,3,2,La kiffance,Naps,3638988,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe,4,4,1bwhDrXcAtqePp8mNJ0pTe,0.805,0.637,0.228,https://api.spotify.com/v1/audio-analysis/1bwhDrXcAtqePp8mNJ0pTe,179427,1bwhDrXcAtqePp8mNJ0pTe,0.0,6,0.071,-6.515,1,0.0869,140.045,4,https://api.spotify.com/v1/tracks/1bwhDrXcAtqePp8mNJ0pTe,audio_features,spotify:track:1bwhDrXcAtqePp8mNJ0pTe,0.678,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']"
12,4,13,La danse des bandits,Naps,1217131,https://open.spotify.com/track/3bGGvbwbhq9kIMhHaXBdYL,4,5,3bGGvbwbhq9kIMhHaXBdYL,0.83,0.676,0.185,https://api.spotify.com/v1/audio-analysis/3bGGvbwbhq9kIMhHaXBdYL,174053,3bGGvbwbhq9kIMhHaXBdYL,1.28e-05,0,0.105,-5.275,0,0.0681,135.023,4,https://api.spotify.com/v1/tracks/3bGGvbwbhq9kIMhHaXBdYL,audio_features,spotify:track:3bGGvbwbhq9kIMhHaXBdYL,0.576,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']"
15,5,16,Mode Akimbo (feat. Jul),SCH,1118602,https://open.spotify.com/track/7qezIDRM0E3WTW1lWxItug,4,6,7qezIDRM0E3WTW1lWxItug,0.875,0.848,0.0717,https://api.spotify.com/v1/audio-analysis/7qezIDRM0E3WTW1lWxItug,217107,7qezIDRM0E3WTW1lWxItug,0.000613,11,0.0828,-5.859,0,0.158,122.983,4,https://api.spotify.com/v1/tracks/7qezIDRM0E3WTW1lWxItug,audio_features,spotify:track:7qezIDRM0E3WTW1lWxItug,0.577,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
23,6,24,Mona Lisa,Booba,1019376,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f,4,7,5LYRIyhmlrDAQsYdHEvP0f,0.784,0.529,0.683,https://api.spotify.com/v1/audio-analysis/5LYRIyhmlrDAQsYdHEvP0f,187362,5LYRIyhmlrDAQsYdHEvP0f,0.0,11,0.118,-7.681,0,0.0742,134.041,4,https://api.spotify.com/v1/tracks/5LYRIyhmlrDAQsYdHEvP0f,audio_features,spotify:track:5LYRIyhmlrDAQsYdHEvP0f,0.246,"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']"
3,7,4,Bobo,Aya Nakamura,2312311,https://open.spotify.com/track/6wL9pSXJ4roDSEoBpYyQy7,3,8,6wL9pSXJ4roDSEoBpYyQy7,0.877,0.356,0.248,https://api.spotify.com/v1/audio-analysis/6wL9pSXJ4roDSEoBpYyQy7,187873,6wL9pSXJ4roDSEoBpYyQy7,0.000274,9,0.2,-8.749,0,0.188,109.932,5,https://api.spotify.com/v1/tracks/6wL9pSXJ4roDSEoBpYyQy7,audio_features,spotify:track:6wL9pSXJ4roDSEoBpYyQy7,0.536,"['basshall', 'francoton']"
14,8,15,good 4 u,Olivia Rodrigo,1125495,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,3,9,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,0.335,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4ZtFanR9U6ndgddUvNcjcG,0.0,9,0.0849,-5.044,1,0.154,166.928,4,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,audio_features,spotify:track:4ZtFanR9U6ndgddUvNcjcG,0.688,['pop']
4,9,5,MONTERO (Call Me By Your Name),Lil Nas X,1895456,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,2,10,67BtfxlNbhBmCDR2L2l8qd,0.61,0.508,0.297,https://api.spotify.com/v1/audio-analysis/67BtfxlNbhBmCDR2L2l8qd,137876,67BtfxlNbhBmCDR2L2l8qd,0.0,8,0.384,-6.682,0,0.152,178.818,4,https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,audio_features,spotify:track:67BtfxlNbhBmCDR2L2l8qd,0.758,"['lgbtq+ hip hop', 'pop rap']"
