,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Petrouchka (feat. PLK)","Soso Maness",5924978,https://open.spotify.com/track/03y045SZqaC94yfXl1cU4E
2,"La kiffance",Naps,3619872,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe
3,Bobo,"Aya Nakamura",2312110,https://open.spotify.com/track/6wL9pSXJ4roDSEoBpYyQy7
4,"La Seleçao",Alonzo,2201232,https://open.spotify.com/track/2vd2HEhrkafOi2uveHjzzh
5,"MONTERO (Call Me By Your Name)","Lil Nas X",1973643,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
6,"Afro Trap Part. 11 (King Kong)",MHD,1917385,https://open.spotify.com/track/62nJqZs3Qs7DGUto35dVUv
7,Bimbo,"Marwa Loud",1667729,https://open.spotify.com/track/3ieLcaMIyl1Avm7JtHSk0d
8,HAINE&SEX,Gazo,1554602,https://open.spotify.com/track/6Vcxzw4ifKqYxVrp3ckpVF
9,"Vroum Vroum","Moha K",1366022,https://open.spotify.com/track/1TmuaS1lnCUf7yCLk2hwDT
10,"Iko Iko (My Bestie)","Justin Wellington",1356686,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
11,"Le temps",Tayc,1354740,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
12,"Jolie madame (feat. Ronisia)","Joé Dwèt Filé",1288354,https://open.spotify.com/track/6gblTHN7eKFPvm4XxnYhl8
13,"A Un Paso De La Luna - Remix",Reik,1282956,https://open.spotify.com/track/6EQR7Y5vVZFiPD0RUECIDv
14,"Calabria (feat. Lujavo & Nito-Onna)",DMNDS,1179582,https://open.spotify.com/track/3M89zvwwb1jtDUDKYNsdiA
15,"La danse des bandits",Naps,1176877,https://open.spotify.com/track/3bGGvbwbhq9kIMhHaXBdYL
16,"Σ. MOROSE",Damso,1161453,https://open.spotify.com/track/0fukO3WYYUHaXOrvEohpEG
