,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
3,0,4,Woo Walk,Light,30856,https://open.spotify.com/track/7zWzNwjF8nsGnQq3mJiG13,25,1,7zWzNwjF8nsGnQq3mJiG13,0.701,0.726,0.11,https://api.spotify.com/v1/audio-analysis/7zWzNwjF8nsGnQq3mJiG13,164375,7zWzNwjF8nsGnQq3mJiG13,0.0,5,0.361,-7.367,0,0.085,141.867,4,https://api.spotify.com/v1/tracks/7zWzNwjF8nsGnQq3mJiG13,audio_features,spotify:track:7zWzNwjF8nsGnQq3mJiG13,0.793,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
5,1,6,Shorty,Light,29676,https://open.spotify.com/track/6W11qt0cfGVx7ZOEYNrSYX,25,2,6W11qt0cfGVx7ZOEYNrSYX,0.792,0.609,0.0812,https://api.spotify.com/v1/audio-analysis/6W11qt0cfGVx7ZOEYNrSYX,276994,6W11qt0cfGVx7ZOEYNrSYX,0.0,1,0.239,-8.128,1,0.148,140.007,4,https://api.spotify.com/v1/tracks/6W11qt0cfGVx7ZOEYNrSYX,audio_features,spotify:track:6W11qt0cfGVx7ZOEYNrSYX,0.808,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
8,2,9,Ti Fovasai,Light,28602,https://open.spotify.com/track/5Gk1WhWoRgy9feTvLT9RWK,25,3,5Gk1WhWoRgy9feTvLT9RWK,0.638,0.565,0.0314,https://api.spotify.com/v1/audio-analysis/5Gk1WhWoRgy9feTvLT9RWK,258750,5Gk1WhWoRgy9feTvLT9RWK,0.0,9,0.115,-8.074,1,0.325,105.208,5,https://api.spotify.com/v1/tracks/5Gk1WhWoRgy9feTvLT9RWK,audio_features,spotify:track:5Gk1WhWoRgy9feTvLT9RWK,0.132,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
12,3,13,Anexartita,Light,24771,https://open.spotify.com/track/1dVnjNCdi74L1qqrGViEYH,25,4,1dVnjNCdi74L1qqrGViEYH,0.541,0.739,0.382,https://api.spotify.com/v1/audio-analysis/1dVnjNCdi74L1qqrGViEYH,211059,1dVnjNCdi74L1qqrGViEYH,0.0,7,0.15,-9.02,1,0.414,77.715,4,https://api.spotify.com/v1/tracks/1dVnjNCdi74L1qqrGViEYH,audio_features,spotify:track:1dVnjNCdi74L1qqrGViEYH,0.651,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
16,4,17,Goodfella,Light,23587,https://open.spotify.com/track/3fCMmmmbmhCbSwVQhPeTpW,25,5,3fCMmmmbmhCbSwVQhPeTpW,0.544,0.819,0.344,https://api.spotify.com/v1/audio-analysis/3fCMmmmbmhCbSwVQhPeTpW,300000,3fCMmmmbmhCbSwVQhPeTpW,0.0,11,0.0872,-6.401,1,0.441,121.605,5,https://api.spotify.com/v1/tracks/3fCMmmmbmhCbSwVQhPeTpW,audio_features,spotify:track:3fCMmmmbmhCbSwVQhPeTpW,0.417,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
17,5,18,Sonic,Light,22730,https://open.spotify.com/track/1bRw06D8CPwN7ycLIXHFbP,25,6,1bRw06D8CPwN7ycLIXHFbP,0.753,0.767,0.235,https://api.spotify.com/v1/audio-analysis/1bRw06D8CPwN7ycLIXHFbP,162687,1bRw06D8CPwN7ycLIXHFbP,0.0,11,0.273,-7.202,0,0.0969,141.975,4,https://api.spotify.com/v1/tracks/1bRw06D8CPwN7ycLIXHFbP,audio_features,spotify:track:1bRw06D8CPwN7ycLIXHFbP,0.551,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
18,6,19,Cc,Light,21980,https://open.spotify.com/track/07qyw1D9R324YyFNZGUUdl,25,7,07qyw1D9R324YyFNZGUUdl,0.942,0.424,0.455,https://api.spotify.com/v1/audio-analysis/07qyw1D9R324YyFNZGUUdl,265565,07qyw1D9R324YyFNZGUUdl,0.0,1,0.0942,-7.64,0,0.0955,115.011,4,https://api.spotify.com/v1/tracks/07qyw1D9R324YyFNZGUUdl,audio_features,spotify:track:07qyw1D9R324YyFNZGUUdl,0.695,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
23,7,24,Cartier,Light,19559,https://open.spotify.com/track/2X0XWgfTRhv6RkUc1kuzcd,25,8,2X0XWgfTRhv6RkUc1kuzcd,0.754,0.598,0.199,https://api.spotify.com/v1/audio-analysis/2X0XWgfTRhv6RkUc1kuzcd,225000,2X0XWgfTRhv6RkUc1kuzcd,0.0,5,0.102,-7.148,0,0.176,122.91,4,https://api.spotify.com/v1/tracks/2X0XWgfTRhv6RkUc1kuzcd,audio_features,spotify:track:2X0XWgfTRhv6RkUc1kuzcd,0.652,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
26,8,27,Otltk,Light,19356,https://open.spotify.com/track/0D2FpHNSClFboWwTqRPCRf,25,9,0D2FpHNSClFboWwTqRPCRf,0.626,0.58,0.117,https://api.spotify.com/v1/audio-analysis/0D2FpHNSClFboWwTqRPCRf,160000,0D2FpHNSClFboWwTqRPCRf,0.0,2,0.124,-7.648,1,0.258,159.937,4,https://api.spotify.com/v1/tracks/0D2FpHNSClFboWwTqRPCRf,audio_features,spotify:track:0D2FpHNSClFboWwTqRPCRf,0.347,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
27,9,28,Block,Light,19325,https://open.spotify.com/track/2j4EZlzum9PZXiZBySurpt,25,10,2j4EZlzum9PZXiZBySurpt,0.821,0.64,0.115,https://api.spotify.com/v1/audio-analysis/2j4EZlzum9PZXiZBySurpt,184800,2j4EZlzum9PZXiZBySurpt,1.22e-06,4,0.0844,-7.561,0,0.376,100.073,4,https://api.spotify.com/v1/tracks/2j4EZlzum9PZXiZBySurpt,audio_features,spotify:track:2j4EZlzum9PZXiZBySurpt,0.205,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
29,10,30,Facemask,Light,17012,https://open.spotify.com/track/1NhJs3bNcrsZMWsYcXOzRM,25,11,1NhJs3bNcrsZMWsYcXOzRM,0.664,0.622,0.0586,https://api.spotify.com/v1/audio-analysis/1NhJs3bNcrsZMWsYcXOzRM,216000,1NhJs3bNcrsZMWsYcXOzRM,0.0,4,0.0972,-8.556,0,0.394,159.864,4,https://api.spotify.com/v1/tracks/1NhJs3bNcrsZMWsYcXOzRM,audio_features,spotify:track:1NhJs3bNcrsZMWsYcXOzRM,0.235,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
