,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,NASA,Rack,952915,https://open.spotify.com/track/1dBqiQ1TU3MpgnR84gi1BQ
2,Mporei,"Mad Clip",269166,https://open.spotify.com/track/7raprblR3NfeuiV72Lz5Il
3,"Woo Walk",Light,249758,https://open.spotify.com/track/7zWzNwjF8nsGnQq3mJiG13
4,"Ti Fovasai",Light,246016,https://open.spotify.com/track/5Gk1WhWoRgy9feTvLT9RWK
5,Anthem,Immune,244710,https://open.spotify.com/track/5sCiSMu4nWKgKQlHVyEaQq
6,COCO,Trannos,227772,https://open.spotify.com/track/6yOg1Tt1ELOWseyPg2vEos
7,"ZITTI E BUONI",Måneskin,223097,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
8,"XCM (Xapiacocomayro)",Bossikan,211546,https://open.spotify.com/track/1n5p8hMkO5RJsePA9NFi9x
9,"Dokimase Ton",Saske,210585,https://open.spotify.com/track/2Jr5Z8VTNa3bPAlbBk6n6k
10,Kokaina,TOQUEL,205778,https://open.spotify.com/track/0mBpzm8OfmBouihZ54biML
11,Prestige,Rack,199007,https://open.spotify.com/track/4gFO7c2q8Iku8bjylseQzT
12,Goodfella,Light,196886,https://open.spotify.com/track/3fCMmmmbmhCbSwVQhPeTpW
13,Kathikon,Rack,195698,https://open.spotify.com/track/5tQrjxSC13DsAxFQ6aMUhV
14,Shorty,Light,194350,https://open.spotify.com/track/6W11qt0cfGVx7ZOEYNrSYX
15,"Thelei Tattoo",Rack,193926,https://open.spotify.com/track/5H9XGo7LFHgTy0vbnOlwaf
16,Sonic,Light,191472,https://open.spotify.com/track/1bRw06D8CPwN7ycLIXHFbP
17,Cc,Light,182133,https://open.spotify.com/track/07qyw1D9R324YyFNZGUUdl
18,Rollie,TOQUEL,178770,https://open.spotify.com/track/1rL4mn6pBrQsLeQLf4mnEX
19,"Free Lupo",Rack,167003,https://open.spotify.com/track/5TueXI8JVK0J81hVsXNMIE
20,Block,Light,166759,https://open.spotify.com/track/2j4EZlzum9PZXiZBySurpt
21,Beggin',Måneskin,163500,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
22,Cartier,Light,154968,https://open.spotify.com/track/2X0XWgfTRhv6RkUc1kuzcd
23,"I WANNA BE YOUR SLAVE",Måneskin,154717,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
24,Diamanti,SNIK,148405,https://open.spotify.com/track/6qPU5i85Wh5UBy9MaaGIuJ
25,"Full Press",Bossikan,138479,https://open.spotify.com/track/1AJrznrjCng2wX8dy4LGXk
26,Anexartita,Light,137170,https://open.spotify.com/track/61G0ze9vR455Cdze3XSWqT
27,"MONTERO (Call Me By Your Name)","Lil Nas X",130473,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
28,Ttg,Light,128178,https://open.spotify.com/track/2VtwLRUgXEebI1DTGJTOCb
29,Xares,Light,123738,https://open.spotify.com/track/6LlFw8LxQeQNcSvy9lKRI2
30,"good 4 u","Olivia Rodrigo",120811,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
31,"BCC Gang",Rack,113989,https://open.spotify.com/track/15UvmYxbkwDKmRm2Y9TWuU
32,Davay,Rack,109120,https://open.spotify.com/track/54EXZcuRYIFW75Y5Bxenxt
33,Diamantia,"Sin Laurent",104695,https://open.spotify.com/track/3dQasgX8yPD2OxGsEyvBWs
34,Eksw,Light,103482,https://open.spotify.com/track/4IGxuQOJbbKGq597JunGDQ
35,Amnesia,Sigma,103021,https://open.spotify.com/track/7AeJhLrw5gWEh2p0yQKAGE
36,"Blow Up",Light,98235,https://open.spotify.com/track/0h1p5hFcJQCEe0ER0wU0dv
37,Baby,"Mad Clip",93865,https://open.spotify.com/track/7goj1fS7fV4dvc91RvuoBw
38,"Levitating (feat. DaBaby)","Dua Lipa",92796,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
39,Lohos,Rack,91028,https://open.spotify.com/track/29b9psRs9YwoybdKWvGjmE
40,"El Diablo","Elena Tsagrinou",89010,https://open.spotify.com/track/0DGduxy7YSuqXm272C2LM6
41,"Astronaut In The Ocean","Masked Wolf",86443,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
42,Voodoo,Light,84032,https://open.spotify.com/track/6tGl1mj5CyoB1hUtOKyhkQ
43,Hroma,Rack,80808,https://open.spotify.com/track/74dlWhbyR61UafvcXIrOZr
44,"Mana Signomi",Rack,79888,https://open.spotify.com/track/443zjmQbb2w0s0hg6WnQUj
45,XILIOMETRA,"Mad Clip",77470,https://open.spotify.com/track/0Az2D1ByNU09je0ZtzDcHm
46,Alitheies,Rack,77435,https://open.spotify.com/track/71ZdZWRRHloiqNP3SjvuuR
47,Gymni,Light,76467,https://open.spotify.com/track/0Vo6x7xCIqQlnm2XbLZ6mF
48,"Proti Thesi","Nikos Oikonomopoulos",75112,https://open.spotify.com/track/5Ag6ggLk5bdlJNvD88FZAV
49,DEMODE,RICTA,72870,https://open.spotify.com/track/6zFIf7W0pKa9HO50dw5E8u
50,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,72437,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
51,"CARLOS TEVEZ","Dani Gambino",69525,https://open.spotify.com/track/7sqV5wrcZH0B4q8X9uHKFJ
52,"Pare Dose","Mente Fuerte",67670,https://open.spotify.com/track/3vON19V9gngoja4bcCwrGm
53,"The Business",Tiësto,67188,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
54,"Your Love (9PM)",ATB,64189,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
55,Demon,Bossikan,63878,https://open.spotify.com/track/4z9inVEJzwLMPpdLhFjb51
56,"Kiss Me More (feat. SZA)","Doja Cat",61942,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
57,CORALINE,Måneskin,61187,https://open.spotify.com/track/7HMz8o0m7ASQ3ImFPfhWTY
58,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",61048,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
59,"Mia Zoi","Mike G",60487,https://open.spotify.com/track/0iP2NME41Inz2Hb2tS6sKJ
60,Xeimwnes,SNIK,60473,https://open.spotify.com/track/1GwHMf0Opo8nNxFLCoPI4X
61,"Pano Kato Challenge",Fy,59642,https://open.spotify.com/track/5V9kspAnUm82ZIRKAUv4ub
62,Barcode,Rack,58899,https://open.spotify.com/track/42mmyfhNOjoLBdAYirszzB
63,Ring,Fy,57604,https://open.spotify.com/track/5g5GOBG3mTODUxegwjK4VL
64,Draco,"FLY LO",57147,https://open.spotify.com/track/6KoduR10TkW5lwKqjA6haa
65,"ELA PARTO","Dani Gambino",56970,https://open.spotify.com/track/1VYv1xH7yUl0b43UVR6yA9
