,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Butter,BTS,365244,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
2,Dynamite,BTS,276289,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
3,ドライフラワー,優里,271708,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J
4,夜に駆ける,YOASOBI,233134,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
5,怪物,YOASOBI,228250,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi
6,きらり,"Fujii Kaze",218134,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj
7,"Pale Blue","Kenshi Yonezu",211188,https://open.spotify.com/track/52RfEh76AVKPwtUtTV9ufl
8,勿忘,"Awesome City Club",204835,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h
9,群青,YOASOBI,201658,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk
10,踊,Ado,198184,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l
11,もう少しだけ,YOASOBI,186205,https://open.spotify.com/track/2pXmohBUnD5Li93sgpbPSg
12,怪盗,"back number",180276,https://open.spotify.com/track/10Eyo4juZQFthKqlJgGMdp
13,"Cry Baby","Official HIGE DANdism",172289,https://open.spotify.com/track/7vBX6cVsCPFSx2C58hpZ4f
14,"Film out",BTS,164770,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
15,不思議,"Gen Hoshino",163895,https://open.spotify.com/track/6NKn02oJDkUkRa9IHbMe3n
16,うっせぇわ,Ado,162203,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n
17,"Stand by me, Stand by you.",HIRAIDAI,149173,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh
18,"Bluma to Lunch","BLOOM VASE",148146,https://open.spotify.com/track/3EYWY7XBj1BkCKX3R3hoZk
19,虹,"Masaki Suda",144980,https://open.spotify.com/track/7AIj86wFWqm7X1TZ2hzHwS
20,"Kaikai Kitan",Eve,143992,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos
21,魔法の絨毯,"Takaya Kawasaki",140263,https://open.spotify.com/track/37IPQgBkvbmH9JR5mlY6a8
22,アンコール,YOASOBI,138421,https://open.spotify.com/track/465JzFiajJO59sUrDFsxdC
23,ギラギラ,Ado,137898,https://open.spotify.com/track/7D7GCO3CtDT1WDcj2W5VDV
24,炎,LiSA,137301,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn
25,春を告げる,yama,137145,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
26,ハルジオン,YOASOBI,135831,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv
27,ハルカ,YOASOBI,133879,https://open.spotify.com/track/5D9MPWdY2hjSeTIGE5n5kv
28,napori,Vaundy,131699,https://open.spotify.com/track/5Ym4egUmT9wHEvZM2anGG8
29,裸の心,Aimyon,131333,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ
30,感電,"Kenshi Yonezu",128345,https://open.spotify.com/track/6H0PLsSYMzDOqhLgyOlzIj
31,猫,DISH//,126246,https://open.spotify.com/track/6sIx7Cn37DGEhjy9hBP8Gx
32,"Take a picture",NiziU,125255,https://open.spotify.com/track/0iEzzJ3zmNQqATy2MilumS
33,かくれんぼ,優里,124599,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ
34,Renegades,"ONE OK ROCK",122302,https://open.spotify.com/track/3RpFwqdROrxJvHywpT1pJ4
35,Pretender,"Official HIGE DANdism",121987,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
36,不可幸力,Vaundy,121975,https://open.spotify.com/track/18nkY3pJTub8WwEGiQAGh4
37,桜が降る夜は,Aimyon,121096,https://open.spotify.com/track/1iEsGutpDvMJG0zYqoKKmQ
38,115万キロのフィルム,"Official HIGE DANdism",119510,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
