,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
0,0,1,Butter,BTS,346017,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN,15,1,2bgTY4UwhfBYhGT4HUYStN,0.759,0.459,0.00323,https://api.spotify.com/v1/audio-analysis/2bgTY4UwhfBYhGT4HUYStN,164442,2bgTY4UwhfBYhGT4HUYStN,0.0,8,0.0906,-5.187,1,0.0948,109.997,4,https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN,audio_features,spotify:track:2bgTY4UwhfBYhGT4HUYStN,0.695,"['k-pop', 'k-pop boy group']"
1,1,2,Dynamite,BTS,252968,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,15,2,4saklk6nie3yiGePpBwUoc,0.746,0.765,0.0112,https://api.spotify.com/v1/audio-analysis/4saklk6nie3yiGePpBwUoc,199054,4saklk6nie3yiGePpBwUoc,0.0,6,0.0936,-4.41,0,0.0993,114.044,4,https://api.spotify.com/v1/tracks/4saklk6nie3yiGePpBwUoc,audio_features,spotify:track:4saklk6nie3yiGePpBwUoc,0.737,"['k-pop', 'k-pop boy group']"
15,2,16,Film out,BTS,146833,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt,15,3,3UHPGOkUcE4hE7sqBF4Snt,0.499,0.709,0.296,https://api.spotify.com/v1/audio-analysis/3UHPGOkUcE4hE7sqBF4Snt,214621,3UHPGOkUcE4hE7sqBF4Snt,0.0,10,0.331,-6.404,1,0.134,164.032,4,https://api.spotify.com/v1/tracks/3UHPGOkUcE4hE7sqBF4Snt,audio_features,spotify:track:3UHPGOkUcE4hE7sqBF4Snt,0.314,"['k-pop', 'k-pop boy group']"
4,3,5,夜に駆ける,YOASOBI,209328,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB,10,4,6MCjmGYlw6mQVWRFVgBRvB,0.663,0.871,0.00299,https://api.spotify.com/v1/audio-analysis/6MCjmGYlw6mQVWRFVgBRvB,258840,6MCjmGYlw6mQVWRFVgBRvB,1.8e-06,8,0.337,-5.287,1,0.03,130.025,4,https://api.spotify.com/v1/tracks/6MCjmGYlw6mQVWRFVgBRvB,audio_features,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,0.826,"['j-pop', 'japanese teen pop']"
5,4,6,怪物,YOASOBI,203529,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,10,5,06XQvnJb53SUYmlWIhUXUi,0.627,0.824,0.0699,https://api.spotify.com/v1/audio-analysis/06XQvnJb53SUYmlWIhUXUi,206000,06XQvnJb53SUYmlWIhUXUi,6.57e-05,1,0.31,-3.419,1,0.118,169.935,4,https://api.spotify.com/v1/tracks/06XQvnJb53SUYmlWIhUXUi,audio_features,spotify:track:06XQvnJb53SUYmlWIhUXUi,0.774,"['j-pop', 'japanese teen pop']"
7,5,8,群青,YOASOBI,184002,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk,10,6,1zd35Y44Blc1CwwVbW3Qnk,0.725,0.853,0.305,https://api.spotify.com/v1/audio-analysis/1zd35Y44Blc1CwwVbW3Qnk,248027,1zd35Y44Blc1CwwVbW3Qnk,0.0,10,0.115,-3.193,1,0.0516,134.991,4,https://api.spotify.com/v1/tracks/1zd35Y44Blc1CwwVbW3Qnk,audio_features,spotify:track:1zd35Y44Blc1CwwVbW3Qnk,0.707,"['j-pop', 'japanese teen pop']"
9,6,10,もう少しだけ,YOASOBI,172451,https://open.spotify.com/track/2pXmohBUnD5Li93sgpbPSg,10,7,2pXmohBUnD5Li93sgpbPSg,0.675,0.746,0.12,https://api.spotify.com/v1/audio-analysis/2pXmohBUnD5Li93sgpbPSg,220201,2pXmohBUnD5Li93sgpbPSg,0.0,8,0.121,-5.531,1,0.0288,99.99,4,https://api.spotify.com/v1/tracks/2pXmohBUnD5Li93sgpbPSg,audio_features,spotify:track:2pXmohBUnD5Li93sgpbPSg,0.533,"['j-pop', 'japanese teen pop']"
12,7,13,Cry Baby,Official HIGE DANdism,164255,https://open.spotify.com/track/7vBX6cVsCPFSx2C58hpZ4f,10,8,7vBX6cVsCPFSx2C58hpZ4f,0.318,0.902,0.0116,https://api.spotify.com/v1/audio-analysis/7vBX6cVsCPFSx2C58hpZ4f,240285,7vBX6cVsCPFSx2C58hpZ4f,0.0,1,0.393,-4.605,1,0.131,199.844,4,https://api.spotify.com/v1/tracks/7vBX6cVsCPFSx2C58hpZ4f,audio_features,spotify:track:7vBX6cVsCPFSx2C58hpZ4f,0.437,"['anime', 'anime rock', 'j-pop']"
23,8,24,アンコール,YOASOBI,124767,https://open.spotify.com/track/465JzFiajJO59sUrDFsxdC,10,9,465JzFiajJO59sUrDFsxdC,0.682,0.669,0.283,https://api.spotify.com/v1/audio-analysis/465JzFiajJO59sUrDFsxdC,271440,465JzFiajJO59sUrDFsxdC,1e-06,2,0.145,-4.741,1,0.0275,81.999,4,https://api.spotify.com/v1/tracks/465JzFiajJO59sUrDFsxdC,audio_features,spotify:track:465JzFiajJO59sUrDFsxdC,0.831,"['j-pop', 'japanese teen pop']"
26,9,27,ハルジオン,YOASOBI,122230,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv,10,10,08YwAPnX8sygJUXG9rvhDv,0.687,0.873,0.0545,https://api.spotify.com/v1/audio-analysis/08YwAPnX8sygJUXG9rvhDv,198600,08YwAPnX8sygJUXG9rvhDv,0.0,8,0.318,-3.852,1,0.0335,130.024,4,https://api.spotify.com/v1/tracks/08YwAPnX8sygJUXG9rvhDv,audio_features,spotify:track:08YwAPnX8sygJUXG9rvhDv,0.884,"['j-pop', 'japanese teen pop']"
