,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
0,0,1,Butter,BTS,2407211,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN,15,1,2bgTY4UwhfBYhGT4HUYStN,0.759,0.459,0.00323,https://api.spotify.com/v1/audio-analysis/2bgTY4UwhfBYhGT4HUYStN,164442,2bgTY4UwhfBYhGT4HUYStN,0.0,8,0.0906,-5.187,1,0.0948,109.997,4,https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN,audio_features,spotify:track:2bgTY4UwhfBYhGT4HUYStN,0.695,"['k-pop', 'k-pop boy group']"
2,1,3,Dynamite,BTS,1776923,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,15,2,4saklk6nie3yiGePpBwUoc,0.746,0.765,0.0112,https://api.spotify.com/v1/audio-analysis/4saklk6nie3yiGePpBwUoc,199054,4saklk6nie3yiGePpBwUoc,0.0,6,0.0936,-4.41,0,0.0993,114.044,4,https://api.spotify.com/v1/tracks/4saklk6nie3yiGePpBwUoc,audio_features,spotify:track:4saklk6nie3yiGePpBwUoc,0.737,"['k-pop', 'k-pop boy group']"
3,2,4,夜に駆ける,YOASOBI,1510331,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB,10,3,6MCjmGYlw6mQVWRFVgBRvB,0.663,0.871,0.00299,https://api.spotify.com/v1/audio-analysis/6MCjmGYlw6mQVWRFVgBRvB,258840,6MCjmGYlw6mQVWRFVgBRvB,1.8e-06,8,0.337,-5.287,1,0.03,130.025,4,https://api.spotify.com/v1/tracks/6MCjmGYlw6mQVWRFVgBRvB,audio_features,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,0.826,"['j-pop', 'japanese teen pop']"
4,3,5,怪物,YOASOBI,1494103,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,10,4,06XQvnJb53SUYmlWIhUXUi,0.627,0.824,0.0699,https://api.spotify.com/v1/audio-analysis/06XQvnJb53SUYmlWIhUXUi,206000,06XQvnJb53SUYmlWIhUXUi,6.57e-05,1,0.31,-3.419,1,0.118,169.935,4,https://api.spotify.com/v1/tracks/06XQvnJb53SUYmlWIhUXUi,audio_features,spotify:track:06XQvnJb53SUYmlWIhUXUi,0.774,"['j-pop', 'japanese teen pop']"
8,4,9,群青,YOASOBI,1317494,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk,10,5,1zd35Y44Blc1CwwVbW3Qnk,0.725,0.853,0.305,https://api.spotify.com/v1/audio-analysis/1zd35Y44Blc1CwwVbW3Qnk,248027,1zd35Y44Blc1CwwVbW3Qnk,0.0,10,0.115,-3.193,1,0.0516,134.991,4,https://api.spotify.com/v1/tracks/1zd35Y44Blc1CwwVbW3Qnk,audio_features,spotify:track:1zd35Y44Blc1CwwVbW3Qnk,0.707,"['j-pop', 'japanese teen pop']"
10,5,11,もう少しだけ,YOASOBI,1235687,https://open.spotify.com/track/2pXmohBUnD5Li93sgpbPSg,10,6,2pXmohBUnD5Li93sgpbPSg,0.675,0.746,0.12,https://api.spotify.com/v1/audio-analysis/2pXmohBUnD5Li93sgpbPSg,220201,2pXmohBUnD5Li93sgpbPSg,0.0,8,0.121,-5.531,1,0.0288,99.99,4,https://api.spotify.com/v1/tracks/2pXmohBUnD5Li93sgpbPSg,audio_features,spotify:track:2pXmohBUnD5Li93sgpbPSg,0.533,"['j-pop', 'japanese teen pop']"
12,6,13,Cry Baby,Official HIGE DANdism,1150556,https://open.spotify.com/track/7vBX6cVsCPFSx2C58hpZ4f,10,7,7vBX6cVsCPFSx2C58hpZ4f,0.318,0.902,0.0116,https://api.spotify.com/v1/audio-analysis/7vBX6cVsCPFSx2C58hpZ4f,240285,7vBX6cVsCPFSx2C58hpZ4f,0.0,1,0.393,-4.605,1,0.131,199.844,4,https://api.spotify.com/v1/tracks/7vBX6cVsCPFSx2C58hpZ4f,audio_features,spotify:track:7vBX6cVsCPFSx2C58hpZ4f,0.437,"['anime', 'anime rock', 'j-pop']"
6,7,7,Pale Blue,Kenshi Yonezu,1442238,https://open.spotify.com/track/52RfEh76AVKPwtUtTV9ufl,6,8,52RfEh76AVKPwtUtTV9ufl,0.688,0.457,0.206,https://api.spotify.com/v1/audio-analysis/52RfEh76AVKPwtUtTV9ufl,296547,52RfEh76AVKPwtUtTV9ufl,1.51e-05,2,0.406,-8.635,1,0.0487,87.99,4,https://api.spotify.com/v1/tracks/52RfEh76AVKPwtUtTV9ufl,audio_features,spotify:track:52RfEh76AVKPwtUtTV9ufl,0.445,"['anime', 'j-pop']"
11,8,12,怪盗,back number,1232103,https://open.spotify.com/track/10Eyo4juZQFthKqlJgGMdp,6,9,10Eyo4juZQFthKqlJgGMdp,0.636,0.847,0.407,https://api.spotify.com/v1/audio-analysis/10Eyo4juZQFthKqlJgGMdp,196226,10Eyo4juZQFthKqlJgGMdp,0.0,7,0.295,-2.093,1,0.037,114.028,4,https://api.spotify.com/v1/tracks/10Eyo4juZQFthKqlJgGMdp,audio_features,spotify:track:10Eyo4juZQFthKqlJgGMdp,0.8,"['j-pop', 'j-rock']"
5,9,6,きらり,Fujii Kaze,1489469,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj,5,10,3ciqhcLmXP4hVGBD98QlEj,0.746,0.764,0.00803,https://api.spotify.com/v1/audio-analysis/3ciqhcLmXP4hVGBD98QlEj,231883,3ciqhcLmXP4hVGBD98QlEj,0.0,2,0.357,-6.833,1,0.0462,116.982,4,https://api.spotify.com/v1/tracks/3ciqhcLmXP4hVGBD98QlEj,audio_features,spotify:track:3ciqhcLmXP4hVGBD98QlEj,0.701,"['j-pop', 'japanese teen pop']"
