,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",20688190,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"deja vu","Olivia Rodrigo",10849616,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
3,traitor,"Olivia Rodrigo",9997883,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
4,"Kiss Me More (feat. SZA)","Doja Cat",9695417,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
5,Yonaguni,"Bad Bunny",8772268,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
6,"favorite crime","Olivia Rodrigo",8171214,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
7,brutal,"Olivia Rodrigo",7822868,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
8,happier,"Olivia Rodrigo",7750690,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
9,"Levitating (feat. DaBaby)","Dua Lipa",7581510,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
10,RAPSTAR,"Polo G",7573478,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
11,"drivers license","Olivia Rodrigo",7092258,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
12,"MONTERO (Call Me By Your Name)","Lil Nas X",6974911,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
13,"Lost Cause","Billie Eilish",6213628,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
14,"jealousy, jealousy","Olivia Rodrigo",6126423,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
15,"enough for you","Olivia Rodrigo",6078230,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
16,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5854245,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
17,"Wants and Needs (feat. Lil Baby)",Drake,5450264,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
18,"1 step forward, 3 steps back","Olivia Rodrigo",5391755,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
19,"Heat Waves","Glass Animals",5260272,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
20,Butter,BTS,5134087,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
